type,name,bloat,waste
index,public.launches_public_cache::launches_public_cache_ll2_pad_id_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_ll2_launch_uuid_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_ll2_agency_id_idx,0.0,0 bytes
index,public.artemis_source_documents::artemis_source_documents_source_key_idx,0.0,0 bytes
index,public.artemis_source_documents::artemis_source_documents_pkey,0.0,0 bytes
index,public.artemis_source_documents::artemis_source_documents_fetched_at_idx,0.0,0 bytes
index,public.artemis_contract_actions::artemis_contract_actions_pkey,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_filter_status_idx,0.0,0 bytes
index,public.launches_public_cache::launches_public_cache_filter_provider_idx,0.0,0 bytes
index,public.launches::launches_updated_at_idx,0.0,0 bytes
index,public.launches::launches_provider_idx,0.0,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_source_document_id_idx,0.0,0 bytes
index,public.launches::launches_pkey,0.0,0 bytes
index,public.launches::launches_pad_short_code_idx,0.0,0 bytes
index,public.launches::launches_pad_idx,0.0,0 bytes
index,public.launches::launches_net_idx,0.0,0 bytes
index,public.faa_launch_matches::faa_launch_matches_launch_idx,0.0,0 bytes
index,public.faa_launch_matches::faa_launch_matches_faa_tfr_shape_id_idx,0.0,0 bytes
index,public.launches::launches_ll2_rocket_config_id_idx,0.0,0 bytes
index,public.launches::launches_ll2_launch_uuid_key,0.0,0 bytes
index,public.launches::launches_ll2_agency_id_idx,0.0,0 bytes
index,public.launches::launches_launch_designator_idx,0.0,0 bytes
index,public.launches::launches_last_updated_idx,0.0,0 bytes
index,public.launches::launches_filter_status_idx,0.0,0 bytes
index,public.launches::launches_filter_provider_idx,0.0,0 bytes
index,public.launches::launches_filter_pad_state_idx,0.0,0 bytes
index,public.launch_updates::launch_updates_pkey,0.0,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_constraint_idx,0.0,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_doc_idx,0.0,0 bytes
index,public.trajectory_product_lineage::trajectory_product_lineage_ingestion_run_id_idx,0.0,0 bytes
index,public.artemis_procurement_awards::artemis_procurement_awards_source_doc_updated_idx,0.0,0 bytes
index,public.launch_updates::launch_updates_launch_id_idx,0.0,0 bytes
