Initialising login role...
Connecting to remote database...

  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
   public.trajectory_product_lineage_constraint_idx                       | 168 kB     | 0%           | 0           | 0         | true   
   public.launches_provider_idx                                           | 168 kB     | 0%           | 0           | 0         | true   
   public.trajectory_source_documents_url_idx                             | 168 kB     | 100%         | 18          | 0         | false  
   public.artemis_opportunity_notices_pkey                                | 168 kB     | 0%           | 0           | 0         | true   
   public.launches_pad_idx                                                | 160 kB     | 0%           | 0           | 0         | true   
   public.blue_origin_source_documents_fetched_at_idx                     | 160 kB     | 0%           | 0           | 0         | true   
   public.snapi_item_events_pkey                                          | 152 kB     | 100%         | 3           | 0         | false  
   public.launch_updates_launch_id_detected_at_idx                        | 144 kB     | 0%           | 0           | 0         | true   
   public.ll2_catalog_public_cache_type_idx                               | 144 kB     | 100%         | 21          | 0         | false  
   public.ll2_catalog_public_cache_country_codes_gin                      | 144 kB     | 100%         | 8           | 0         | false  
   public.trajectory_product_lineage_doc_idx                              | 144 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_vehicle_idx                               | 136 kB     | 100%         | 64          | 0         | false  
   public.launches_updated_at_idx                                         | 136 kB     | 100%         | 6           | 0         | false  
   public.navcen_bnm_hazard_areas_matched_launch_id_idx                   | 136 kB     | 0%           | 0           | 0         | true   
   public.api_rate_counters_pkey                                          | 136 kB     | 100%         | 264         | 0         | false  
   public.celestrak_intdes_datasets_due_idx                               | 136 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_rocket_full_name_idx                      | 136 kB     | 100%         | 64          | 0         | false  
   public.launches_pad_short_code_idx                                     | 136 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_provider_idx                              | 128 kB     | 0%           | 0           | 0         | true   
   public.celestrak_intdes_datasets_success_idx                           | 128 kB     | 0%           | 0           | 0         | true   
   public.artemis_contracts_piid_ref_idx                                  | 120 kB     | 100%         | 28          | 0         | false  
   public.artemis_source_documents_pkey                                   | 120 kB     | 100%         | 56          | 0         | false  
   public.artemis_source_documents_fetched_at_idx                         | 120 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_hazard_areas_navcen_guid_idx                         | 120 kB     | 0%           | 0           | 0         | true   
   public.artemis_contracts_piid_idx                                      | 112 kB     | 0%           | 0           | 0         | true   
   public.artemis_contracts_contract_key_key                              | 112 kB     | 0%           | 0           | 0         | true   
   public.blue_origin_passengers_launch_name_key                          | 112 kB     | 0%           | 0           | 0         | true   
   public.launch_social_candidates_dedupe_key_uidx                        | 112 kB     | 100%         | 76          | 0         | false  
   public.blue_origin_timeline_events_event_key_key                       | 104 kB     | 0%           | 0           | 0         | true   
   public.blue_origin_source_documents_url_sha256_key                     | 104 kB     | 0%           | 0           | 0         | true   
   public.artemis_content_items_source_idx                                | 104 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_messages_navcen_guid_idx                             | 96 kB      | 0%           | 0           | 0         | true   
   public.artemis_contract_actions_pkey                                   | 96 kB      | 0%           | 0           | 0         | true   
   public.artemis_content_items_mission_kind_idx                          | 88 kB      | 100%         | 40          | 0         | false  
   public.artemis_spending_timeseries_contract_idx                        | 88 kB      | 100%         | 14          | 0         | false  
   public.artemis_procurement_awards_usaspending_award_id_mission_key_key | 88 kB      | 0%           | 0           | 0         | true   
   public.ll2_astronauts_name_idx                                         | 88 kB      | 0%           | 0           | 0         | true   
   public.artemis_spending_timeseries_contract_id_fiscal_year_fiscal__key | 88 kB      | 0%           | 0           | 0         | true   
   public.artemis_contract_actions_contract_idx                           | 88 kB      | 100%         | 28          | 0         | false  
   public.artemis_contracts_pkey                                          | 88 kB      | 0%           | 0           | 0         | true   
   public.launches_ll2_rocket_config_id_idx                               | 88 kB      | 0%           | 0           | 0         | true   
   public.artemis_procurement_awards_program_scope_awarded_idx            | 88 kB      | 100%         | 15          | 0         | false  
   public.launch_updates_launch_id_idx                                    | 80 kB      | 0%           | 0           | 0         | true   
   public.launches_public_cache_filter_provider_idx                       | 80 kB      | 0%           | 0           | 0         | true   
   public.launches_filter_provider_idx                                    | 80 kB      | 0%           | 0           | 0         | true   
   public.launches_ll2_agency_id_idx                                      | 80 kB      | 0%           | 0           | 0         | true   
   public.launches_public_cache_filter_status_idx                         | 72 kB      | 0%           | 0           | 0         | true   
   public.artemis_procurement_awards_pkey                                 | 72 kB      | 0%           | 0           | 0         | true   
   public.artemis_content_items_kind_pub_idx                              | 72 kB      | 100%         | 1           | 0         | false  
   public.blue_origin_traveler_sources_pkey                               | 72 kB      | 0%           | 0           | 0         | true   
   public.launch_updates_pkey                                             | 72 kB      | 100%         | 2           | 0         | false  
   public.artemis_opportunity_notices_ptype_idx                           | 72 kB      | 0%           | 0           | 0         | true   
   public.launches_filter_status_idx                                      | 72 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_source_documents_source_key_idx                     | 72 kB      | 0%           | 0           | 0         | true   
   public.ll2_events_date_idx                                             | 72 kB      | 0%           | 0           | 0         | true   
   public.ll2_events_pkey                                                 | 64 kB      | 100%         | 21          | 0         | false  
   public.ll2_events_last_updated_idx                                     | 64 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_source_documents_source_type_idx                    | 64 kB      | 0%           | 0           | 0         | true   
   public.artemis_contract_actions_source_document_idx                    | 64 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_passengers_pkey                                     | 64 kB      | 0%           | 0           | 0         | true   
   public.ll2_astronauts_pkey                                             | 64 kB      | 100%         | 300         | 0         | false  
   public.artemis_spending_timeseries_pkey                                | 64 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_timeline_events_mission_time_idx                    | 64 kB      | 0%           | 0           | 0         | true   
   public.artemis_contracts_source_document_idx                           | 64 kB      | 0%           | 0           | 0         | true   
   public.faa_launch_matches_record_idx                                   | 64 kB      | 100%         | 3           | 0         | false  
   public.launch_updates_detected_idx                                     | 64 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_flights_launch_id_idx                            | 56 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_records_valid_window_gist                               | 56 kB      | 0%           | 0           | 0         | true   
   public.artemis_procurement_awards_source_doc_updated_idx               | 56 kB      | 0%           | 0           | 0         | true   
   public.artemis_source_documents_url_sha256_key                         | 56 kB      | 0%           | 0           | 0         | true   
   public.ll2_launcher_launches_ll2_idx                                   | 56 kB      | 0%           | 0           | 0         | true   
   public.ll2_launcher_launches_launch_idx                                | 56 kB      | 0%           | 0           | 0         | true   
   public.artemis_procurement_awards_awarded_on_idx                       | 56 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_timeline_events_pkey                                | 56 kB      | 0%           | 0           | 0         | true   
   public.faa_launch_matches_pkey                                         | 56 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_flights_launch_idx                               | 56 kB      | 100%         | 85          | 0         | false  
   public.blue_origin_traveler_sources_slug_idx                           | 56 kB      | 100%         | 9           | 0         | false  
   public.artemis_source_documents_source_type_idx                        | 56 kB      | 0%           | 0           | 0         | true   
   public.artemis_content_items_pkey                                      | 56 kB      | 0%           | 0           | 0         | true   
   public.artemis_opportunity_notices_source_document_idx                 | 56 kB      | 0%           | 0           | 0         | true   
   public.launch_trajectory_constraints_run_idx                           | 56 kB      | 0%           | 0           | 0         | true   
   public.ll2_rocket_configs_pkey                                         | 56 kB      | 100%         | 503         | 0         | false  
   public.artemis_source_documents_source_key_idx                         | 48 kB      | 0%           | 0           | 0         | true   
   public.launch_trajectory_constraints_pkey                              | 48 kB      | 100%         | 4           | 0         | false  
   public.blue_origin_timeline_events_source_document_id_idx              | 48 kB      | 0%           | 0           | 0         | true   
   public.system_settings_pkey                                            | 48 kB      | 100%         | 2870        | 0         | false  
   public.artemis_contracts_mission_idx                                   | 48 kB      | 0%           | 0           | 0         | true   
   public.faa_notam_details_notam_hash_uniq                               | 48 kB      | 100%         | 80          | 0         | false  
   public.blue_origin_spending_timeseri_contract_id_fiscal_year_fisca_key | 48 kB      | 0%           | 0           | 0         | true   
   public.artemis_sam_contract_award_rows_row_key_key                     | 48 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_passengers_traveler_slug_idx                        | 48 kB      | 0%           | 0           | 0         | true   
   public.artemis_contract_actions_solicitation_idx                       | 48 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_records_source_key_uniq                                 | 48 kB      | 100%         | 126         | 0         | false  
   public.blue_origin_contract_actions_action_key_key                     | 48 kB      | 0%           | 0           | 0         | true   
   public.artemis_procurement_awards_scope_awarded_updated_idx            | 48 kB      | 100%         | 4           | 0         | false  
   public.ll2_launcher_launches_pkey                                      | 48 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_traveler_sources_updated_at_idx                     | 40 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_shapes_record_source_uniq                               | 40 kB      | 100%         | 55          | 0         | false  
   public.blue_origin_passengers_mission_date_idx                         | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_flight_docking_events_pkey                       | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_flight_docking_events_docking_idx                | 40 kB      | 100%         | 15          | 0         | false  
   public.ll2_spacecraft_flights_pkey                                     | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_pads_pkey                                                   | 40 kB      | 100%         | 247         | 0         | false  
   public.blue_origin_contracts_pkey                                      | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_astronauts_agency_idx                                       | 40 kB      | 0%           | 0           | 0         | true   
   public.launch_trajectory_constraints_launch_idx                        | 40 kB      | 100%         | 6           | 0         | false  
   public.artemis_procurement_awards_source_document_id_idx               | 40 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_records_pkey                                            | 40 kB      | 100%         | 164         | 0         | false  
   public.blue_origin_timeline_events_announced_time_idx                  | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_spending_timeseries_pkey                            | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecrafts_name_idx                                        | 40 kB      | 0%           | 0           | 0         | true   
   public.faa_launch_matches_record_null_launch_origin_uidx               | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_agencies_pkey                                               | 40 kB      | 100%         | 3           | 0         | false  
   public.ll2_launchers_pkey                                              | 40 kB      | 100%         | 183         | 0         | false  
   public.blue_origin_contract_actions_source_document_id_idx             | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_contracts_contract_key_key                          | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_contract_actions_pkey                               | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_landings_pkey                                               | 40 kB      | 100%         | 79          | 0         | false  
   public.ll2_docking_events_pkey                                         | 40 kB      | 0%           | 0           | 0         | true   
   public.launch_social_candidates_pkey                                   | 40 kB      | 0%           | 0           | 0         | true   
   public.launches_filter_pad_state_idx                                   | 40 kB      | 0%           | 0           | 0         | true   
   public.artemis_timeline_events_fingerprint_key                         | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_contracts_mission_idx                               | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_travelers_pkey                                      | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecrafts_pkey                                            | 40 kB      | 100%         | 79          | 0         | false  
   public.ll2_spacecraft_flights_spacecraft_idx                           | 40 kB      | 100%         | 64          | 0         | false  
   public.faa_tfr_records_mod_at_idx                                      | 40 kB      | 0%           | 0           | 0         | true   
   public.social_posts_pkey                                               | 40 kB      | 100%         | 2           | 0         | false  
   public.ll2_spacecraft_flights_ll2_landing_id_idx                       | 40 kB      | 100%         | 64          | 0         | false  
   public.faa_tfr_shapes_bbox_idx                                         | 40 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_records_notam_id_idx                                    | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_launchers_serial_idx                                        | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_contract_actions_contract_idx                       | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_traveler_sources_flight_code_idx                    | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_spending_contract_idx                               | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_travelers_traveler_slug_key                         | 40 kB      | 0%           | 0           | 0         | true   
   public.launch_social_candidates_launch_platform_fetched_idx            | 40 kB      | 100%         | 2           | 0         | false  
   public.blue_origin_contracts_source_document_id_idx                    | 40 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_passengers_source_document_id_idx                   | 32 kB      | 0%           | 0           | 0         | true   
   public.ll2_astronaut_launches_pkey                                     | 32 kB      | 100%         | 10          | 0         | false  
   public.launch_social_candidates_external_post_idx                      | 32 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_traveler_sources_source_type_idx                    | 32 kB      | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_mission_tokens_gin                        | 24 kB      | 0%           | 0           | 0         | true   
   public.orbit_elements_supgp_group_or_source_trgm_idx                   | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_types_name_idx                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.social_accounts_pkey                                            | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_configs_agency_idx                               | 16 kB      | 100%         | 64          | 0         | false  
   public.blue_origin_vehicles_source_document_id_idx                     | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_sam_contract_award_rows_contract_idx                    | 16 kB      | 0%           | 0           | 0         | true   
   public.profiles_calendar_token_key                                     | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_people_mission_name_key                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_flights_pkey                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.celestrak_datasets_success_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.ar_camera_guide_sessions_launch_id_idx                          | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_flights_pkey                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_flights_ll2_landing_id_idx                          | 16 kB      | 0%           | 0           | 0         | true   
   public.subscriptions_status_idx                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_event_launches_pkey                                         | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_ingest_checkpoints_updated_at_idx                   | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_ingest_checkpoints_pkey                             | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_flights_flight_code_key                             | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_timeline_events_mission_time_idx                        | 16 kB      | 100%         | 18          | 0         | false  
   public.artemis_social_accounts_active_idx                              | 16 kB      | 0%           | 0           | 0         | true   
   public.stripe_customers_stripe_customer_id_key                         | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_records_status_idx                                      | 16 kB      | 100%         | 3           | 0         | false  
   public.artemis_budget_lines_fiscal_year_idx                            | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_launch_matches_launch_idx                                   | 16 kB      | 100%         | 32          | 0         | false  
   public.launch_weather_valid_start_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_mission_components_pkey                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.watchlist_rules_pkey                                            | 16 kB      | 0%           | 0           | 0         | true   
   public.nws_points_coord_key_key                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_flights_payload_idx                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.nws_points_ll2_pad_id_uidx                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_pads_ll2_location_id_idx                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_vehicles_mission_idx                                | 16 kB      | 0%           | 0           | 0         | true   
   public.profiles_embed_token_key                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_space_stations_pkey                                         | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payload_flights_launch_id_idx                               | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_mission_components_mission_component_key                | 16 kB      | 0%           | 0           | 0         | true   
   public.ops_alerts_key_key                                              | 16 kB      | 100%         | 573         | 0         | false  
   public.artemis_sam_contract_award_rows_pkey                            | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_engines_pkey                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_people_mission_sort_idx                                 | 16 kB      | 0%           | 0           | 0         | true   
   public.profiles_marketing_unsubscribe_token_key                        | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_social_matches_pkey                                      | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_payloads_pkey                                       | 16 kB      | 0%           | 0           | 0         | true   
   public.social_posts_launch_update_idx                                  | 16 kB      | 0%           | 0           | 0         | true   
   public.blue_origin_contract_vehicle__contract_id_vehicle_slug_engi_key | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payloads_type_idx                                           | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_config_agency_idx                                | 16 kB      | 0%           | 0           | 0         | true   
   public.notifications_outbox_user_id_idx                                | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_types_pkey                                       | 16 kB      | 100%         | 143         | 0         | false  
   public.social_posts_mission_drop_uidx                                  | 16 kB      | 100%         | 8           | 0         | false  
   public.faa_notam_details_notam_id_idx                                  | 16 kB      | 100%         | 1           | 0         | false  
   public.launch_social_matches_active_one_uidx                           | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_source_registry_active_idx                              | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_payloads_operator_idx                                       | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_shapes_record_idx                                       | 16 kB      | 0%           | 0           | 0         | true   
   public.privacy_preferences_pkey                                        | 16 kB      | 0%           | 0           | 0         | true   
   public.job_locks_pkey                                                  | 16 kB      | 100%         | 112         | 0         | false  
   public.artemis_people_source_document_id_idx                           | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_astronaut_launches_launch_idx                               | 16 kB      | 0%           | 0           | 0         | true   
