
  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
   public.feedback_submissions_user_id_idx                                | 8192 bytes | 0%           | 0           | 0         | true   
   public.artemis_procurement_awards_awarded_on_idx                       | 8192 bytes | 0%           | 0           | 0         | true   
   public.rss_feeds_pkey                                                  | 8192 bytes | 0%           | 0           | 0         | true   
   public.launch_filter_presets_pkey                                      | 8192 bytes | 0%           | 0           | 0         | true   
   public.push_subscriptions_user_id_endpoint_key                         | 8192 bytes | 100%         | 11806       | 0         | false  
   public.artemis_procurement_awards_usaspending_award_id_mission_key_key | 8192 bytes | 0%           | 0           | 0         | true   
   public.calendar_feeds_pkey                                             | 8192 bytes | 0%           | 0           | 0         | true   
   public.artemis_procurement_awards_source_document_id_idx               | 8192 bytes | 0%           | 0           | 0         | true   
   public.sms_consent_events_user_id_idx                                  | 8192 bytes | 100%         | 3           | 0         | false  
   public.billing_events_pkey                                             | 8192 bytes | 0%           | 0           | 0         | true   
   public.rss_feeds_token_key                                             | 8192 bytes | 0%           | 0           | 0         | true   
   public.rss_feeds_user_idx                                              | 8192 bytes | 0%           | 0           | 0         | true   
   public.sms_consent_events_created_at_idx                               | 8192 bytes | 0%           | 0           | 0         | true   
   public.calendar_feeds_token_key                                        | 8192 bytes | 0%           | 0           | 0         | true   

