
  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
   public.navcen_bnm_hazard_areas_matched_launch_id_idx                   | 88 kB      | 0%           | 0           | 0         | true   
   public.launches_public_cache_vehicle_idx                               | 88 kB      | 100%         | 77823       | 0         | false  
   public.launches_public_cache_rocket_full_name_idx                      | 88 kB      | 100%         | 77823       | 0         | false  
   public.trajectory_product_lineage_pkey                                 | 88 kB      | 0%           | 0           | 0         | true   
   public.ll2_astronauts_name_idx                                         | 88 kB      | 0%           | 0           | 0         | true   
   public.launches_ll2_rocket_config_id_idx                               | 88 kB      | 100%         | 112         | 0         | false  
   public.launch_updates_launch_id_idx                                    | 80 kB      | 100%         | 96          | 0         | false  
   public.launches_ll2_agency_id_idx                                      | 80 kB      | 0%           | 0           | 0         | true   
   public.trajectory_source_contracts_status_idx                          | 80 kB      | 0%           | 0           | 0         | true   
   public.ll2_events_date_idx                                             | 72 kB      | 0%           | 0           | 0         | true   
   public.launch_updates_pkey                                             | 72 kB      | 100%         | 17481       | 0         | false  
   public.ll2_astronauts_pkey                                             | 64 kB      | 100%         | 206280      | 0         | false  
   public.ll2_events_pkey                                                 | 64 kB      | 100%         | 28441       | 0         | false  
   public.navcen_bnm_hazard_areas_navcen_guid_idx                         | 64 kB      | 100%         | 1           | 0         | false  
   public.launch_updates_detected_idx                                     | 64 kB      | 100%         | 40047       | 0         | false  
   public.ll2_events_last_updated_idx                                     | 64 kB      | 0%           | 0           | 0         | true   
   public.navcen_bnm_messages_navcen_guid_idx                             | 56 kB      | 100%         | 936         | 0         | false  
   public.faa_launch_matches_record_idx                                   | 56 kB      | 100%         | 1           | 0         | false  
   public.ll2_launcher_launches_ll2_idx                                   | 56 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_flights_launch_idx                               | 56 kB      | 100%         | 40227       | 0         | false  
   public.ll2_rocket_configs_pkey                                         | 56 kB      | 100%         | 523335      | 0         | false  
   public.ll2_spacecraft_flights_launch_id_idx                            | 56 kB      | 0%           | 0           | 0         | true   
   public.ll2_launcher_launches_launch_idx                                | 56 kB      | 0%           | 0           | 0         | true   
   public.artemis_source_documents_pkey                                   | 56 kB      | 100%         | 5143        | 0         | false  
   public.artemis_source_documents_fetched_at_idx                         | 48 kB      | 100%         | 1           | 0         | false  
   public.trajectory_source_documents_url_idx                             | 48 kB      | 100%         | 31064       | 0         | false  
   public.ll2_launcher_launches_pkey                                      | 48 kB      | 100%         | 3593        | 0         | false  
   public.trajectory_product_lineage_ingestion_run_id_idx                 | 48 kB      | 0%           | 0           | 0         | true   
   public.ll2_landings_pkey                                               | 40 kB      | 100%         | 83026       | 0         | false  
   public.ll2_agencies_pkey                                               | 40 kB      | 100%         | 707264      | 0         | false  
   public.faa_launch_matches_pkey                                         | 40 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_records_valid_window_gist                               | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_launchers_pkey                                              | 40 kB      | 100%         | 275150      | 0         | false  
   public.ll2_spacecrafts_name_idx                                        | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecrafts_pkey                                            | 40 kB      | 100%         | 82971       | 0         | false  
   public.ll2_docking_events_pkey                                         | 40 kB      | 100%         | 966         | 0         | false  
   public.ll2_spacecraft_flights_spacecraft_idx                           | 40 kB      | 100%         | 77168       | 0         | false  
   public.trajectory_product_lineage_constraint_idx                       | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_flights_pkey                                     | 40 kB      | 100%         | 1478        | 0         | false  
   public.ll2_launchers_serial_idx                                        | 40 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_flights_ll2_landing_id_idx                       | 40 kB      | 100%         | 77166       | 0         | false  
   public.ll2_astronauts_agency_idx                                       | 40 kB      | 0%           | 0           | 0         | true   
   public.system_settings_pkey                                            | 40 kB      | 100%         | 1860072     | 0         | false  
   public.ll2_spacecraft_flight_docking_events_pkey                       | 40 kB      | 100%         | 560         | 0         | false  
   public.ll2_pads_pkey                                                   | 40 kB      | 100%         | 485103      | 0         | false  
   public.ll2_spacecraft_flight_docking_events_docking_idx                | 40 kB      | 100%         | 4176        | 0         | false  
   public.launch_social_candidates_dedupe_key_uidx                        | 40 kB      | 100%         | 1914        | 0         | false  
   public.faa_tfr_records_source_key_uniq                                 | 32 kB      | 100%         | 17704       | 0         | false  
   public.faa_notam_details_notam_hash_uniq                               | 32 kB      | 100%         | 9248        | 0         | false  
   public.trajectory_product_lineage_doc_idx                              | 32 kB      | 0%           | 0           | 0         | true   
   public.launch_trajectory_constraints_pkey                              | 32 kB      | 100%         | 1626        | 0         | false  
   public.ll2_astronaut_launches_pkey                                     | 32 kB      | 100%         | 8681        | 0         | false  
   public.launch_trajectory_constraints_run_idx                           | 32 kB      | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_mission_tokens_gin                        | 24 kB      | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_matched_launch_id_idx                     | 16 kB      | 100%         | 701         | 0         | false  
   public.artemis_timeline_events_source_document_id_idx                  | 16 kB      | 0%           | 0           | 0         | true   
   public.ops_alerts_pkey                                                 | 16 kB      | 100%         | 21254       | 0         | false  
   public.launch_social_matches_launch_platform_matched_idx               | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_weather_pkey                                             | 16 kB      | 0%           | 0           | 0         | true   
   public.artemis_budget_lines_program_idx                                | 16 kB      | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_pdf_url_idx                               | 16 kB      | 100%         | 190         | 0         | false  
   public.launch_social_candidates_pkey                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.faa_tfr_records_pkey                                            | 16 kB      | 100%         | 18458       | 0         | false  
   public.launch_weather_issued_at_idx                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.embed_widgets_token_key                                         | 16 kB      | 100%         | 2           | 0         | false  
   public.faa_tfr_records_notam_id_idx                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.launch_social_candidates_external_post_idx                      | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_locations_pkey                                              | 16 kB      | 100%         | 289056      | 0         | false  
   public.launch_trajectory_constraints_launch_idx                        | 16 kB      | 100%         | 4818        | 0         | false  
   public.ll2_spacecraft_types_name_idx                                   | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_configurations_pkey                              | 16 kB      | 100%         | 43654       | 0         | false  
